,nome,ativo,classes,documento,classe_pred
52,amoxicilina-clavulanato-de-potassio,amoxicilina + clavulanato de potássio,"Pó para Solução Injetável, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar",A amoxicilina + clavulanato de potássio é um antibiótico usado em adultos e crianças indicado para tratamento de infecções em diferentes partes do corpo que são causadas por determinados tipos de bactérias.,2
4,fosfato-dissdico-de-dexametasona-cloridrato-de-tiamina-cloridrato-de-piridoxina-cianocobalamina,"fosfato dissódico de dexametasona, cloridrato de tiamina, cloridrato de piridoxina, cianocobalamina","Anti-inflamatórios, Venda sob prescrição médica, Genéricos",Tratamento dos sinais e sintomas de neuropatias inflamatórias.,2
6,ceftriaxona-sodica-i-v,ceftriaxona sódica,"Pó para Solução Injetável, Cefalosporinas, Retenção - só pode ser vendido com retenção de receita, Hospitalar",Este medicamento é usado para tratar infecções causadas por microrganismos sensíveis à ceftriaxona.,2
8,berk,acetato de caspofungina,"Pó Liofilizado para Solução Injetável, Antifúngicos, Venda sob prescrição médica, Hospitalar","Berk (acetato de caspofungina) é indicado para tratar um dos vários tipos de infecções fúngicas descritos a seguir: • Uma infecção fúngica grave chamada candidíase invasiva: essa infecção é causada por células fúngicas (leveduras) chamadas Candida. Normalmente essas leveduras encontram-se no trato digestivo e não causam infecção a menos que entrem na corrente sanguínea (neste caso, a infecção é chamada candidemia) ou em outros tecidos e órgãos, como revestimento do abdome (peritonite), rins, fígado, ossos, músculos, articulações, baço ou olhos. Entre as pessoas que correm alto risco de apresentar candidíase invasiva, estão pacientes cirúrgicos e aqueles cujo sistema imunológico encontra-se deficiente. • Infecções fúngicas da boca, da garganta e do esôfago (tubo digestivo que liga a boca ao estômago): essas infecções são chamadas candidíase orofaríngea (na boca e fundo da garganta) ou candidíase esofageana (no esôfago) e também são causadas por Candida. Indivíduos saudáveis normalmente possuem Candida na boca e na garganta sem apresentar qualquer efeito da doença. Uma infecção ocorre quando a resistência do corpo a doenças está baixa. • Uma infecção fúngica grave chamada aspergilose invasiva: essa infecção grave ocorre no nariz, nos seios nasais e nos pulmões e pode se espalhar para outras partes do corpo. Esse tipo de infecção é causado por vários fungos comuns encontrados no ambiente chamados Aspergillus. A maioria das infecções fúngicas por Aspergillus começa no sistema respiratório (nariz, seios nasais ou pulmões), porque os esporos do fungo encontram-se no ar que respiramos todos os dias. Na maioria dos indivíduos saudáveis, a capacidade natural de combater doenças destrói os esporos e os remove do corpo. Algumas condições clínicas, entretanto, diminuem a resistência do corpo a doenças. Alguns medicamentos prescritos a pacientes que receberam transplante de órgãos ou de medula também fazem com que o organismo apresente menor resistência a doenças. São esses pacientes os que mais provavelmente desenvolvem esse tipo de infecção. Além desses casos, seu médico pode lhe prescrever Berk (acetato de caspofungina) caso suspeite que você apresente uma infecção fúngica decorrente de quimioterapia ou outros tratamentos ou condições clínicas que possam diminuir a resistência do corpo a doenças por reduzirem a quantidade de alguns tipos de leucócitos. Se você apresentar febre persistente após quimioterapia ou em algumas das condições descritas acima e sua febre não baixar após tratamento com antibiótico, pode ser que você tenha uma infecção fúngica.",2
351,zina,Dicloridrato de levocetirizina,"Comprimido Revestido, Antialérgicos, Medicamento isento de prescrição","Zina® (dicloridrato de levocetirizina) está indicado no tratamento dos sintomas associados a enfermidades alérgicas, como rinite alérgica sazonal (incluindo os sintomas oculares), rinite alérgica perene e urticária crônica idiopática.",2
10,valerato-de-betametasona-sulfato-de-gentamicina-tolnaftato-clioquinol-2,valerato de betametasona + sulfato de gentamicina + tolnaftato + clioquinol,,"O valerato de betametasona + sulfato de gentamicina + tolnaftato + clioquinol Pomada é indicado para o alívio das manifestações inflamatórias das dermatoses (doenças da pele) que respondem aos corticosteroides, quando complicadas por infecção causada por micro-organismos sensíveis aos componentes de sua formulação ou quando há suspeita da possibilidade de tal infecção. Essas dermatoses incluem: dermatose inguinal (doença da pele na região próxima a virilha), dermatite crônica das extremidades (doença da pele crônica das extremidades), eritrasma (doença da pele que aparece principalmente na parte interna das coxas, virilhas e axilas), balanopostite (inflamação da pele que cobre o pênis), dermatite eczematóide, dermatite de contato (alergia com produtos com os quais a pele tem contato), dermatite folicular (alergia no local onde nascem os pelos), desidrose (pequenas bolhas nas palmas das mãos e plantas dos pés), paroníquia (infecção ao redor das unhas causadas por um tipo de fungo Candida), prurido anal (coceira na região do ânus), eczema seborreico, intertrigo (irritação com ou sem infecção em áreas de atrito), dermatite seborreica (inflamação da pele em regiões com muitas glândulas produtoras de suor), acne pustulosa, impetigo (doença infecciosa), neurodermatite (doença de pele originada por causas emocionais), estomatite angular (inflamação nos cantos da boca), dermatite por fotossensibilidade (alergia por sensibilidade à luz do sol), dermatofitose inguinal liquenificada (micose na região da virilha) e infecções causadas pelo fungo tinea, como Tinea pedis (micose do pé), Tinea cruris (micose na região da virilha) e Tinea corporis (micose em outras áreas do corpo).",2
347,ginna-brasil,nitrato de fenticonazol,"Creme, Antimicóticos Para Uso Tópico, Venda sob prescrição médica","Ginna (nitrato de fenticonazol) é indicado para o tratamento de candidíase da mucosa vaginal (vulvovaginite, vaginite e leucorreia).",2
12,tinidazol-nitrato-de-miconazol,"tinidazol,  nitrato de miconazol","Creme, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  O tinidazol + nitrato de miconazol é indicado no tratamento tópico (intravaginal) das vulvovaginites (infecções de vagina e vulva, região externa dos genitais femininos) sensíveis aos componentes da fórmula.",2
13,promestrieno,promestrieno,"Creme, Estrógenos Simples, Venda sob prescrição médica, Genéricos","Promestrieno é indicado para o tratamento de alterações tróficas (distúrbios) da vulva e da vagina, causadas pela redução ou falta de estrogênio no organismo. Promestrieno também é indicado para acelerar a cicatrização de lesões na vagina e colo do útero no período pós-parto normal, pós-cirurgia ou após terapias locais com agentes físicos.",2
341,tamiram-500mg,levofloxacino hemi-hidratado,"Comprimido Revestido, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Tamiram® (levofloxacino hemi-hidratado) é indicado no tratamento de infecções bacterianas causadas por agentes sensíveis ao levofloxacino hemi-hidratado, tais como: - Infecções do trato respiratório superior e inferior, incluindo sinusite, exacerbações agudas de bronquite crônica e pneumonia. - Infecções da pele e tecido subcutâneo, complicadas e não complicadas, tais como impetigo, abscessos, furunculose, celulite e erisipela. - Infecções do trato urinário, incluindo pielonefrite aguda. - Osteomielite. Como as fluoroquinolonas, incluindo Tamiram® (levofloxacino hemi-hidratado) têm sido associadas a reações adversas graves, e pelo fato de que, para alguns pacientes, infecções do trato urinário não complicadas, exacerbações bacterianas agudas de bronquite crônica e sinusite aguda bacteriana podem ser autolimitadas, Tamiram® (levofloxacino hemi-hidratado) só deve ser indicado para tratamento destas infecções em pacientes para os quais não existam opções de tratamento alternativas.",2
338,trok-pomada,cetoconazol + dipropionato de betametasona,"Pomada, Glicocorticóides Tópicos - Associação Medicamentosa, Venda sob prescrição médica, Prescrição Médica","Trok® (cetoconazol + dipropionato de betametasona) é indicado ao tratamento das dermatoses em fase úmida, como dermatite de contato, dermatite atópica, dermatite seborreica, intertrigo, disidrose, neurodermatite, eczemas e dermatoses inflamatórias secundariamente afetadas ou potencialmente afetadas por fungos ou leveduras.",2
20,linezolida,linezolida,"Solução Injetável, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar","A linezolida está indicada no tratamento de infecções presumidas ou comprovadamente causadas por bactérias sensíveis (vide o espectro de ação no item 3. CARACTERÍSTICAS FARMACOLÓGICAS). Entre estas infecções bacterianas se destacam as associadas com bacteremia concomitante, como por exemplo: 1) Pneumonia adquirida em ambiente hospitalar e de serviços relacionados à assistência à saúde (incluindo aquelas relacionadas à ventilação mecânica) ou comunitário; 2) Infecções de pele e de partes moles complicadas (incluindo pé diabético sem osteomielite concomitante) e não complicadas; 3) Infecções  enterocócicas, incluindo aquelas causadas por cepas de Enterococcus faecium e Enterococcus faecalis resistentes à vancomicina.  Este medicamento é ativo somente contra bactérias Gram-positivas.  A linezolida não tem atividade contra patógenos Gram-negativos. É exigida terapia Gram-negativa específica caso se confirme ou se suspeite de um patógeno Gram-negativo concomitante (vide item 5. ADVERTÊNCIAS E PRECAUÇÕES e item 3. CARACTERÍSTICAS FARMACOLÓGICAS).",2
21,desloratadina-xpe,desloratadina,"Xarope, Anti-histamínicos Sistêmicos, Medicamento isento de prescrição, Genéricos","A desloratadina é indicada para o alívio rápido dos sintomas associados à rinite alérgica (incluindo rinite alérgica intermitente e persistente), entre eles: espirro; rinorreia; prurido e congestão nasal; prurido ocular, lacrimejamento e vermelhidão dos olhos; prurido do palato e tosse. A desloratadina é indicada também para o alívio dos sintomas associados à urticária, como prurido, e para redução do tamanho e número de erupções cutâneas.",2
22,montelucaste-de-sodio-sache,montelucaste de sódio,"Granulado, Antiasmáticos, Venda sob prescrição médica, Genéricos","O montelucaste de sódio é indicado para o tratamento de: • Asma, incluindo a prevenção dos sintomas de asma durante o dia e noite. O montelucaste de sódio também previne o estreitamento das vias aéreas causado pelo exercício; • Rinite alérgica, incluindo sintomas diurnos e noturnos como congestão nasal, coriza, coceira nasal e espirros; congestão nasal ao despertar, dificuldade de dormir e despertares noturnos; lacrimejamento, coceira, vermelhidão e inchaço dos olhos.",2
294,montelucaste-de-sodio,montelucaste de sódio,"Comprimido, Antiasmáticos, Venda sob prescrição médica, Genéricos","O montelucaste de sódio é indicado para o tratamento de: • Asma, incluindo a prevenção dos sintomas de asma durante o dia e a noite. O montelucaste de sódio também previne o estreitamento das vias aéreas causado pelo exercício; • Rinite alérgica, incluindo sintomas diurnos e noturnos como congestão nasal, coriza, coceira nasal e espirros; congestão nasal ao despertar, dificuldade de dormir e despertares noturnos; lacrimejamento, coceira, vermelhidão e inchaço dos olhos.",2
30,astro-solucao-oral,azitromicina,Prescrição Médica,"Astro® (azitromicina di-hidratada) pó para suspensão oral é indicado em infecções causadas por organismos suscetíveis, em infecções do trato respiratório inferior incluindo bronquite e pneumonia, em infecções da pele e tecidos moles, em otite média aguda e infecções do trato respiratório superior incluindo sinusite e faringite/tonsilite. (Penicilina é o fármaco de escolha usual no tratamento de faringite devido a Streptococcus pyogenes, incluindo a profilaxia da febre reumática. A azitromicina geralmente é efetiva na erradicação do estreptococo da orofaringe; porém dados que estabelecem a eficácia da azitromicina e a subsequente prevenção da febre reumática não estão disponíveis no momento). Nas doenças sexualmente transmissíveis no homem e na mulher, Astro® (azitromicina diidratada) é indicado no tratamento de infecções genitais não complicadas devido a Chlamydia trachomatis. É também indicado no tratamento de cancro devido a Haemophilus ducreyi, e em infecções genitais não complicadas devido a Neisseria gonorrhoeae sem resistência múltipla. Infecções concomitantes com Treponema pallidum devem ser excluídas.",2
323,levofloxacino,levofloxacino hemi-hidratado,"Comprimido Revestido, Antibióticos Sistêmicos Simples, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO? Levofloxacino hemi-hidratado é indicado no tratamento de infecções bacterianas causadas por agentes sensíveis ao levofloxacino hemi-hidratado, tais como: - Infecções do trato respiratório superior e inferior, incluindo sinusite, exacerbações agudas de bronquite crônica e pneumonia. - Infecções da pele e tecido subcutâneo, complicadas e não complicadas, tais como impetigo, abscessos, furunculose, celulite e erisipela. - Infecções do trato urinário, incluindo pielonefrite aguda. - Osteomielite",2
322,sinot-comprimido,amoxicilina tri-hidratada,"Pó para Suspensão, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica",Sinot (amoxicilina tri-hidratada) é um antibiótico de amplo espectro indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,2
319,subtrax,sulfametoxazol + trimetoprima,"Comprimido, Trimetoprima em associação com sulfas, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Subtrax (sulfametoxazol + trimetoprima) somente deve ser usado quando o benefício do tratamento superar qualquer risco possível; considerações devem ser feitas quanto ao agente bacteriano efetivo. Como a suscetibilidade da bactéria in vitro varia geograficamente e com o tempo, a situação local deve ser considerada quando se seleciona uma antibioticoterapia. Este medicamento é indicado para o tratamento das infecções causadas por microrganismos sensíveis à associação trimetoprima + sulfametoxazol, tais como: − Infecções do trato respiratório e otites: exacerbações agudas de quadros crônicos de bronquite, sinusite, tratamento e profilaxia (primária e secundária) da pneumonia por Pnemocystis jirovecii em adultos e crianças. Otite média em crianças, quando há boas razões para se preferir essa combinação a um antibiótico simples; − Infecções do trato urinário e renais: cistites agudas e crônicas, pielonefrites, uretrites, prostatites e cancroides; − Infecções genitais em homens e mulheres, inclusive uretrite gonocócica; − Infecções gastrintestinais, incluindo febre tifoide e paratifoide, e tratamento dos portadores, cólera (como medida conjunta à reposição de líquidos e eletrólitos), diarreia dos viajantes causada pela Escherichia coli enterotoxicogênica, shiguelose (cepas sensíveis de Shigella flexneri e Shigella sonnei, quando o tratamento antibacteriano for indicado); − Infecções da pele e tecidos moles: piodermite, furúnculos, abscessos e feridas infectadas; − Outras infecções causadas por uma grande variedade de microrganismos (tratamento possivelmente em combinação com outros antibióticos): osteomielite aguda e crônica, brucelose aguda, nocardiose, blastomicose sul-americana, actinomicetoma.",2
317,trisk,daptomicina,"Pó Liofilizado para Solução Injetável, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar","Trisk (daptomicina) é utilizado em adultos (≥18 anos) e crianças (1 a 17 anos) para o tratamento de infecções de pele e de partes moles complicadas. É também utilizado em adultos (≥18 anos de idade) e em crianças (1 a 17 anos) para o tratamento de infecções sanguíneas ou em adultos com infecções do tecido que reveste a parte interna do coração (incluindo válvulas cardíacas), causadas pela bactéria Staphylococcus aureus. Este medicamento não é utilizado para o tratamento de pneumonia (uma infecção ou inflamação no tecido pulmonar).",2
316,trok-g-pomada,dipropionato de betametasona + sulfato de gentamicina,"Pomada, Anti-infecciosos Tópicos - Associações Medicamentosas, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Trok-G® (dipropionato de betametasona + sulfato de gentamicina) é indicado para que o alívio das manifestações inflamatórias de dermatoses sensíveis aos corticosteroides complicadas por infecção secundária causada por bactérias sensíveis à gentamicina, ou quando houver suspeita de tais infecções. Estas dermatoses incluem: psoríase, dermatite alérgica de contato (eczema), dermatite atópica, neurodermatite circunscrita (líquen simples crônico), líquen plano, intertrigo eritematoso, disidrose (pompholyx), dermatite seborreica, dermatite esfoliativa, dermatite solar, dermatite de estase e pruridos anogenital.",2
40,levofloxacino-hemi-hidratado,levofloxacino hemi-hidratado,"Comprimido Revestido, Antibióticos Sistêmicos Simples, Venda sob prescrição médica, Genéricos","O levofloxacino hemi-hidratado 750 mg é indicado para o tratamento de sinusite aguda bacteriana (infecção aguda por bactérias das cavidades aeradas dos ossos da face), pneumonia adquirida na comunidade (pneumonia em pessoas que não estão internadas), infecções do trato urinário (bexiga e canais onde passa a urina) complicadas e pielonefrite aguda (infecção aguda dos rins) causadas por cepas suscetíveis de bactérias, em pacientes com funcionamento normal dos rins.",2
41,nitazoxanida,nitazoxanida,"Pó para Suspensão, Antiparasitários, Venda sob prescrição médica, Genéricos","A nitazoxanida é indicada no tratamento das seguintes infecções:  Gastroenterites virais provocadas por rotavírus e norovírus;  Helmintíases provocadas por nematódeos, cestódeos e trematódeos, como: Enterobius vermicularis, Ascaris lumbricoides, Strongyloides stercolaris, Ancylostoma duodenale, Necator americanus, Trichuris trichiura, Taenia spp. e Hymenolepis nana;  Amebíase, para tratamento da diarreia por amebíase intestinal aguda ou disenteria amebiana causada pelo complexo Entamoeba histolytica/díspar;  Giardíase, para tratamento da diarreia causada por Giardia lamblia ou Giardia intestinalis;  Criptosporidíase, para tratamento da diarreia causada por Cryptosporidium parvum;  Blastocistose, balantidíase e isosporíase, causadas, respectivamente, por Blastocistis hominis, Balantidium coli e Isospora belli.",2
310,bilastina,bilastina,"Comprimido, Anti-histamínicos Sistêmicos, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  Este medicamento destina-se ao tratamento dos sintomas da rinoconjuntivite alérgica, tais como espirros, nariz entupido (congestão nasal), coceira e secreção nasal, olhos vermelhos e lacrimejantes, e ao tratamento dos sintomas da urticária crônica, tais como erupções da pele com placas avermelhadas (eritemas) e pápulas, acompanhadas de coceira.",2
43,astro-iv,azitromicina di-hidratada,"Pó Liofilizado para Solução Injetável, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar","Astro® IV (azitromicina di-hidratada) é indicado para o tratamento de pneumonia adquirida na comunidade causada por organismos suscetíveis, incluindo Legionella pneumophila, em pacientes que requerem tratamento intravenoso inicial. Astro® IV (azitromicina di-hidratada) também é indicado para o tratamento de doença inflamatória pélvica causada por organismos suscetíveis (Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma hominis), em pacientes que requerem tratamento intravenoso inicial.",2
49,hidroxizina-dicloridrato-de,dicloridrato de hidroxizina,"Solução, Anti-histamínicos Sistêmicos, Venda sob prescrição médica, Genéricos","O dicloridrato de hidroxizina está indicado para alívio do prurido causado por condições alérgicas da pele, tais como: urticária, dermatite atópica e de contato, e do prurido decorrente de outras doenças sistêmicas.",2
50,meromax,Meropeném tri-hidratado,"Pó para Solução Injetável, Antibióticos Sistêmicos Simples, Venda sob prescrição médica, Hospitalar","Meromax® (meropeném tri-hidratado), por infusão prolongada, está indicado para o tratamento de infecções graves ocasionadas por bactérias resistentes, sendo intrinsecamente mais potente contra Acinetobacter baumannii e Pseudomonas aeruginosa, tais como: - pneumonia que acomete o paciente intubado (pneumonia associada ao uso de ventiladores mecânicos); - meningite bacteriana; - infecção da corrente sanguínea (sepse); -fibrose cística (doença dos pulmões que se caracteriza pelo espessamento intenso do muco, destruição pulmonar e facilidade de adquirir pneumonias de repetição).",2
300,cloridrato-moxifloxacino,cloridrato de moxifloxacino,"Solução para Infusão, Hospitalar","O cloridrato de moxifloxacino solução para infusão é indicado para o tratamento das seguintes infecções causadas por bactérias sensíveis: • Pneumonia adquirida na comunidade (PAC) incluindo PAC causada por bactérias resistentes a alguns antibióticos*; • Infecções complicadas de pele e anexos (inclusive infecções do pé diabético); • Infecções intra-abdominais complicadas, incluindo infecções causadas por várias bactérias, como abscessos.  * Streptococcus pneumoniae multirresistente, incluindo isolados conhecidos como S. pneumoniae resistente a penicilina, e cepas resistentes a dois ou mais dos seguintes antibióticos: penicilina (CIM ≥ 2 μg/mL), cefalosporinas de 2ª geração (por exemplo, cefuroxima), macrolídeos, tetraciclinas e trimetoprima/sulfametoxazol. Devem-se considerar as recomendações relacionadas ao uso apropriado de agentes antibióticos.",2
299,ciprofloxacino,ciprofloxacino,"Solução para Infusão, Antibióticos Sistêmicos Simples, Venda sob prescrição médica, Hospitalar","Adultos Tratamento de infecções complicadas e não complicadas causadas por microrganismos sensíveis ao ciprofloxacino: - do trato respiratório. Muitos dos microrganismos, p. ex. Klebsiella, Enterobacter,Proteus, E. coli,Pseudomonas, Haemophilus, Moraxella, Legionella e Staphylococcus reagem com muita sensibilidade ao ciprofloxacino. A maioria dos casos de pneumonia que não necessitam de tratamento hospitalar é causada por Streptococcus pneumoniae. Nesses casos, ciprofloxacino não é o medicamento de primeira escolha; - do ouvido médio (otite média) e dos seios paranasais (sinusite), especialmente se causadas por Pseudomonas ou Staphylococcus; - dos olhos; - dos rins e/ou do trato urinário eferente; - dos órgãos reprodutores, inclusive inflamação dos ovários e das tubas uterinas (anexite), gonorreia e infecções da próstata (prostatite); - da cavidade abdominal (p. ex. do trato gastrintestinal, do trato biliar e do peritônio); - da pele e de tecidos moles; - dos ossos e articulações. Infecção generalizada (septicemia). Infecções ou risco de infecção (profilaxia) em pacientes com sistema imunológico comprometido, por exemplo, pacientes em tratamento com medicamentos que inibem as defesas imunológicas naturais do organismo ou pacientes com número reduzido de glóbulos brancos do sangue. Descontaminação intestinal seletiva em pacientes sob tratamento com imunossupressores. O ciprofloxacino não é eficaz contra Treponema pallidum (causador da sífilis). Crianças e adolescentes entre 5 e 17 anosPara infecção aguda na fibrose cística (distúrbio metabólico hereditário que aumenta a produção e a viscosidade das secreções nos brônquios e no trato digestivo) causada por P. aeruginosa se não houver possibilidade de outros tratamentos injetáveis mais eficazes. Não se recomenda ciprofloxacino para outras indicações. Antraz por inalação (após exposição) em adultos e crianças Para terapia imediata e para tratamento de antraz após inalação de bacilos de antraz (Bacillus anthracis).",2
32,furoato-de-mometasona,furoato de mometasona,"Suspensão Spray Nasal, Venda sob prescrição médica, Genéricos, Corticosteróides Nasais","PARA QUE ESTE MEDICAMENTO É INDICADO?  -Rinite alérgica O furoato de mometasona é indicado para o tratamento dos sintomas de rinite alérgica sazonal e perene, como congestão nasal, coriza, coceira e espirros, em pacientes adultos e pediátricos (a partir de 2 anos de idade). Também é indicado para a profilaxia dos sintomas nasais de rinite alérgica sazonal em pacientes adultos e adolescentes com 12 anos ou mais. Para pacientes com histórico de sintomas de rinite alérgica sazonal de intensidade moderada a grave, recomenda-se o tratamento profilático com furoato de mometasona durante duas a quatro semanas antes do início da época de maior exposição aos alérgenos. Tratamento complementar nos episódios agudos de rinossinusite O furoato de mometasona é indicado para adultos e adolescentes com 12 anos de idade ou mais como tratamento complementar aos antibióticos nos episódios agudos de rinossinusite.  -Pólipos nasais O furoato de mometasona é indicado para pacientes acima de 18 anos no tratamento de pólipos nasais e seus sintomas, incluindo congestão nasal e diminuição do olfato.  -Rinossinusite O furoato de mometasona é indicado para pacientes acima de 12 anos no tratamento de rinossinusite aguda.",2
45,cefadroxila-capsula-dura,cefadroxila,"Cápsula dura, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Genéricos","A cefadroxila está indicada para o tratamento de infecções causadas por bactérias sensíveis. A eficácia da cefadroxila manifesta-se pela melhora do estado geral do paciente, incluindo a regressão da febre, dos sinais e sintomas da infecção.",2
179,teicoplanina,teicoplanina,"Pó Liofilizado para Solução Injetável + Diluente, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar","A teicoplanina está indicada no tratamento de infecções causadas por bactérias gram-positivas sensíveis, incluindo aquelas resistentes a outros antibióticos tais como meticilina e as cefalosporinas: endocardite (inflamação da camada mais interna do coração - endocardio), septicemia (infecção geral grave), infecções osteoarticulares (infecção nos ossos e articulações), infecções do trato respiratório inferior (traqueia, pulmões, brônquios, bronquíolos e alvéolos pulmonares), infecções de pele e tecidos moles (músculos e gorduras), infecções urinárias (de urina) e peritonite (inflamação do peritônio) associada à diálise peritoneal (processo de filtração do sangue através do peritônio) crônica ambulatorial. Também está indicada no tratamento de infecções em pacientes alérgicos às penicilinas ou cefalosporinas. A teicoplanina pode ser usada por via oral no tratamento de diarreia associada ao uso de antibiótico, incluindo colite pseudomembranosa (infecção intestinal causada por uma bactéria (Clostridium difficile)). A teicoplanina pode ser utilizada para profilaxia (prevenção) em pacientes nos quais a infecção por microrganismos gram-positivos pode ser perigosa (por exemplo, em pacientes que necessitam de cirurgia dental ou ortopédica).",2
116,ceftriaxona-sodica-i-m,ceftriaxona sódica,"Pó para Solução Injetável + Diluente, Cefalosporinas, Retenção - só pode ser vendido com retenção de receita, Genéricos",Ceftriaxona sódica é usado para tratar infecções causadas por microorganismos sensíveis à ceftriaxona.,2
217,sulbactam-sodica-ampicilina-sodica,sulbactam sódico + ampicilina sódica,"Pó para Solução Injetável, Antibióticos Sistêmicos Simples, Retenção - só pode ser vendido com retenção de receita, Hospitalar","O medicamento sulbactam sódico + ampicilina sódica injetável é indicado em infecções causadas por microrganismos suscetíveis. As indicações mais comuns são as infecções do trato respiratório inferior e superior, incluindo sinusite (infecção dos seios da face), otite média (infecção do ouvido médio) e epiglotite (infecção da epiglote – parte da garganta); pneumonias bacterianas (infecções pulmonares causadas por bactérias); infecções do trato urinário e pielonefrite (infecção dos rins); infecções intra-abdominais, incluindo peritonite (infecção do peritônio, camada que recobre os órgãos internos abdominais), colecistite (inflamação da vesícula biliar), endometrite (infecção do endométrio, uma das camadas do útero) e celulite pélvica (infecção da pele e tecido subcutâneo na região pélvica); sepse bacteriana (disseminação de bactérias a partir de um foco de infecção através do sangue); infecções da pele e tecidos moles, infecções do osso e articulações e infecções gonocócicas (causadas pela bactéria gonococo).  O sulbactam sódico + ampicilina sódica injetável também pode ser administrado no peri-operatório (momentos antes da incisão cirúrgica) para reduzir a incidência de infecções em feridas cirúrgicas em pacientes submetidos a cirurgia pélvica e abdominal, nos casos em que a região operada possa estar contaminada por bactérias. No trabalho de parto ou cesárea, o sulbactam sódico + ampicilina sódica injetável pode ser usado para reduzir as chances de infecção pós-operatória.",2
113,cloridrato-de-ciprofloxacino,Cloridrato de ciprofloxacino,"Comprimido, Venda sob prescrição médica, Genéricos","As indicações do cloridrato de ciprofloxacino são as seguintes: Adultos Para o tratamento de infecções complicadas e não complicadas causadas por microrganismos sensíveis ao ciprofloxacino: - do trato respiratório. Muitos dos microrganismos, p. ex. Klebsiella, Enterobacter, Proteus, E. coli, Pseudomonas, Haemophilus, Moraxella, Legionella e Staphylococcus reagem com muita sensibilidade ao cloridrato de ciprofloxacino. A maioria dos casos de pneumonia que não necessitam de tratamento hospitalar é causada por Streptococcus pneumoniae. Nesses casos, o cloridrato de ciprofloxacino não é o medicamento de primeira escolha; - do ouvido médio (otite média) e dos seios paranasais (sinusite), especialmente se causadas por Pseudomonas ou Staphylococcus; - dos olhos; - dos rins e/ou do trato urinário eferente; - dos órgãos reprodutores, inclusive inflamação dos ovários e das tubas uterinas (anexite), gonorreia e infecções da próstata (prostatite); - da cavidade abdominal, p. ex. do estômago e intestino (trato gastrintestinal), do trato biliar e da membrana serosa que reveste internamente as paredes do abdome (peritônio); - da pele e de tecidos moles; - dos ossos e articulações. Infecção generalizada (septicemia). Infecções ou risco de infecção (profilaxia) em pacientes com sistema imunológico comprometido, por exemplo, pacientes em tratamento com medicamentos que inibem as defesas imunológicas naturais do organismo ou pacientes com número reduzido de glóbulos brancos do sangue. Eliminação seletiva de bactérias do intestino durante tratamento com medicamentos que inibem o sistema imunológico do organismo. Descontaminação intestinal seletiva em pacientes sob tratamento com imunossupressores. O cloridrato de ciprofloxacino não é eficaz contra Treponema pallidum (causador da sífilis). Crianças e adolescentes entre 5 e 17 anos Para infecção aguda na fibrose cística (distúrbio hereditário que aumenta a produção e a viscosidade das secreções nos brônquios e no trato digestivo) causada por Pseudomonas aeruginosa se não houver possibilidade de outros tratamentos injetáveis mais eficazes. Não se recomenda cloridrato de ciprofloxacino para outras indicações. Antraz por inalação (após exposição) em adultos e crianças Para reduzir a incidência ou progressão da doença após inalação de bacilos de antraz (Bacillus anthracis).",2
215,intra-gel,Lubrificante intimo,Isento de Prescrição,"Intra é um gel que oferece sensação de lubrificação intima natural. É transparente, não tem cheiro, sua fórmula a base de água oferece maior conforto e prazer sem diminuir a sensibilidade nas relações sexuais. É compatível com preservativos e possui tampa abre-fecha fácil.",2
174,trok-g-creme,dipropionato de betametasona + sulfato de gentamicina,"Creme, Anti-infecciosos Tópicos - Associações Medicamentosas, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Trok-G® (dipropionato de betametasona + sulfato de gentamicina) é indicado para que o alívio das manifestações inflamatórias de dermatoses sensíveis aos corticosteroides complicadas por infecção secundária causada por bactérias sensíveis à gentamicina, ou quando houver suspeita de tais infecções. Estas dermatoses incluem: psoríase, dermatite alérgica de contato (eczema), dermatite atópica, neurodermatite circunscrita (líquen simples crônico), líquen plano, intertrigo eritematoso, disidrose (pompholyx), dermatite seborreica, dermatite esfoliativa, dermatite solar, dermatite de estase e pruridos anogenital.",2
